Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,140,111,143,137,111,95,87,114,123,119,152,142,144,218,188,189,189,226
2,9/7/2020,57,55,53,60,59,55,78,102,84,88,80,98,124,132,156,208,597,2147
3,9/14/2020,60,57,53,60,59,55,78,102,84,88,80,98,124,132,156,208,597,2147
4,9/21/2020,55.6,45,53,60,59,55,78,102,84,88,80,98,124,132,156,208,597,2147
5,9/28/2020,,,,,,,,,,,,,,,,,,
6,10/5/2020,,,,,,,,,,,,,,,,,,
7,10/12/2020,,,,,,,,,,,,,,,,,,
8,10/19/2020,,,,,,,,,,,,,,,,,,
9,10/26/2020,,,,,,,,,,,,,,,,,,
10,11/2/2020,,,,,,,,,,,,,,,,,,
11,11/9/2020,,,,,,,,,,,,,,,,,,
12,11/16/2020,,,,,,,,,,,,,,,,,,
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
