Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,171.816,171.816,171.816,164.32,58.557,55.3,77.686,102.371,84.157,88.343,79.067,97.9,123.714,131.714,156,208.286,981,2147
2,9/7/2020,53.6,57.114,128.006,95.96,109.723,121.114,177.537,127.631,125.669,129.951,144.4,150.4,177.2,180.743,337.4,180.393,269.679,225.036
3,9/14/2020,50.99,42.257,34.5,69.329,58.557,55.3,77.686,102.371,84.157,88.343,79.771,97.9,123.714,131.714,156,208.286,981,2147
4,9/21/2020,51.42,49.22,34.52,80.12,58.55,55.3,77.68,112.02,84.15,88.34,79.77,97.9,123.71,131.71,156,208.28,1114,2147
5,9/28/2020,52.3,57.31,34.52,80.12,58.55,55.3,77.68,112.02,84.15,88.34,79.77,97.9,123.71,131.71,156,208.28,1114,2147
6,10/5/2020,87.85,100.65,34.52,80.12,58.55,55.3,77.68,112.02,84.15,88.34,79.77,97.9,123.71,131.71,156,208.28,1114,2147
7,10/12/2020,58.22,58.41,34.52,80.12,58.55,55.3,77.68,112.02,84.15,88.34,79.77,97.9,123.71,131.71,156,208.28,1114,2147
8,10/19/2020,46.92,62.32,37.59,0.09,12.46,59.69,38.61,43.88,63.54,87.46,103.68,89.89,104.69,136.92,191.45,203.61,238.07,304.97
9,10/26/2020,67.21,70.65,29.6,35.7,59,48.6,51.2,60.9,72.7,80.7,73.9,81.2,97.1,124,130,147,180,445
10,11/2/2020,86.81,111,34.52,80.12,58.55,55.3,77.68,112.02,84.15,88.34,79.77,97.9,123.71,131.71,156,208.28,1114,2147
11,11/9/2020,139.39,152.92,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.8,134.98,143.15,151.33
12,11/16/2020,143.84,171.79,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.8,134.98,143.15,151.33
13,11/23/2020,130.01,159.6,31.82,34.12,54.05,51.42,51.42,54.05,75.94,80.64,76.71,80.64,100.48,126.47,132.95,144.03,181.27,437.03
14,11/30/2020,140.88,154.68,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.8,134.98,143.15,151.33
15,12/7/2020,158.62,159.6,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.8,134.98,143.15,151.33
